NU USDA Model Results,,,,NU Core Model Results,,,,NEIU USDA Model Results,,,,NEIU Core Model Results,,,,CSU USDA Model Results,,,,CSU Core model Results,
t,storage (cm),,,t,storage (cm),,,t,storage (cm),,,t,storage (cm),,,t,storage (cm),,,t,storage (cm)
2.48,16.697,,,2.3333,12.867,,,3.1875,22.505,,,3.1667,23.924,,,3.0625,29.577,,,1.375,3.7163
2.5,16.692,,,2.3542,12.863,,,3.2083,22.491,,,3.1875,23.914,,,3.0833,29.557,,,1.385,3.7146
2.5069,16.691,,,2.375,12.859,,,3.2292,22.477,,,3.2083,23.904,,,3.1,29.54,,,1.395,3.7129
2.5139,16.689,,,2.3958,12.856,,,3.25,22.463,,,3.2292,23.895,,,3.1042,29.536,,,1.3958,3.7127
2.5208,16.688,,,2.4167,12.852,,,3.255,22.46,,,3.25,23.886,,,3.125,29.516,,,1.3958,3.7127
2.5208,16.688,,,2.4375,12.848,,,3.2708,22.449,,,3.255,23.883,,,3.1458,29.495,,,1.4167,3.7096
2.5313,16.687,,,2.4583,12.843,,,3.2917,22.435,,,3.2708,23.876,,,3.1667,29.475,,,1.4375,3.7065
2.5417,16.685,,,2.4792,12.839,,,3.3125,22.421,,,3.2917,23.867,,,3.1875,29.455,,,1.4583,3.7034
2.5486,16.684,,,2.48,12.839,,,3.3333,22.407,,,3.3125,23.858,,,3.2083,29.435,,,1.4687,3.706
2.5556,16.683,,,2.5,12.835,,,3.3542,22.393,,,3.3333,23.848,,,3.2292,29.415,,,1.4792,3.7086
2.5625,16.682,,,2.5208,12.831,,,3.375,22.378,,,3.3542,23.838,,,3.25,29.395,,,1.4896,3.7061
2.5729,16.681,,,2.5417,12.826,,,3.3958,22.363,,,3.375,23.827,,,3.255,29.391,,,1.5,3.7036
2.5833,16.679,,,2.5625,12.822,,,3.41,22.352,,,3.3958,23.816,,,3.2708,29.376,,,1.5208,3.6986
2.5903,16.678,,,2.5833,12.818,,,3.4167,22.347,,,3.41,23.809,,,3.2917,29.356,,,1.5417,3.6975
2.5972,16.677,,,2.6042,12.814,,,3.4375,22.331,,,3.4167,23.805,,,3.3125,29.336,,,1.5444,3.6968
2.6042,16.676,,,2.625,12.811,,,3.4583,22.316,,,3.4375,23.794,,,3.3333,29.316,,,1.5472,3.6961
2.6042,16.676,,,2.635,12.809,,,3.4792,22.3,,,3.4583,23.782,,,3.3542,29.296,,,1.55,3.6954
2.6146,16.674,,,2.6458,12.807,,,3.5,22.284,,,3.4792,23.77,,,3.375,29.276,,,1.5542,3.6944
2.625,16.672,,,2.6667,12.803,,,3.5208,22.267,,,3.5,23.758,,,3.3958,29.256,,,1.5625,3.6931
2.635,16.671,,,2.6875,12.799,,,3.5625,22.235,,,3.5208,23.746,,,3.41,29.242,,,1.5694,3.6919
2.6458,16.669,,,2.7083,12.796,,,3.565,22.233,,,3.5625,23.721,,,3.4167,29.236,,,1.5833,3.6897
2.6528,16.668,,,2.7292,12.792,,,3.5833,22.218,,,3.565,23.72,,,3.4167,29.236,,,1.5938,3.6881
2.6597,16.667,,,2.75,12.789,,,3.6042,22.202,,,3.5833,23.709,,,3.4375,29.215,,,1.6042,3.6865
2.6667,16.665,,,2.7708,12.785,,,3.6458,22.17,,,3.6042,23.697,,,3.4583,29.195,,,1.625,3.6835
2.6771,16.664,,,2.79,12.782,,,3.6875,22.14,,,3.6458,23.672,,,3.4792,29.175,,,1.6458,3.6806
2.6875,16.662,,,2.7917,12.782,,,3.7083,22.126,,,3.6875,23.65,,,3.5,29.154,,,1.6667,3.6779
2.6944,16.661,,,2.8125,12.778,,,3.72,22.118,,,3.7083,23.639,,,3.5208,29.134,,,1.6875,3.6754
2.7014,16.66,,,2.8333,12.775,,,3.7292,22.112,,,3.72,23.634,,,3.5417,29.114,,,1.705,3.6754
2.7083,16.659,,,2.8542,12.771,,,3.75,22.1,,,3.7292,23.629,,,3.5625,29.093,,,1.707,3.6752
2.7083,16.659,,,2.875,12.768,,,3.7708,22.087,,,3.75,23.62,,,3.565,29.091,,,1.7083,3.675
2.7188,16.658,,,2.8958,12.765,,,3.7917,22.075,,,3.7708,23.612,,,3.5833,29.072,,,1.7109,3.6748
2.7292,16.657,,,2.9167,12.761,,,3.8125,22.063,,,3.7917,23.603,,,3.6042,29.051,,,1.7146,3.6743
